scenarioType,condition,n,participants,win_rate,ci_low,ci_high
daily,body,22,22,0.2727272727272727,0.1,0.4782608695652174
daily,full,18,18,0.2222222222222222,0.047619047619047616,0.4375
daily,mind,14,14,0.42857142857142855,0.16666666666666666,0.6924999999999989
daily,soul,16,16,0.4375,0.18181818181818182,0.7060924369747889
task,body,15,15,0.3333333333333333,0.1,0.5882352941176471
task,full,13,13,0.38461538461538464,0.125,0.6666666666666666
task,mind,18,18,0.3888888888888889,0.16666666666666666,0.6251644736842096
task,soul,23,23,0.34782608695652173,0.15789473684210525,0.5625679347826084
